,College,Course Code,Credits,Section Num,Course Name,Section type,Department,Instructor,Number of student In Section,Max Number Of Students,Hall,Building,Hall Type,Day,Room Capcity,From Time,To Time,Duration,Exam Date/Time,Exam Building,Exam Hall,Course Language,Teaching Hours
0,College of Economics and Political Science,ACCT3111,3.0,01,Principles of Financial & Management Accounting,LEC,Department of Accounting,SAIF ABDULLAH SAIF AL-SHIDI,0,65,E14,E Common Teaching,Classroom,SUN,120,480,590,110,1798356600+10800,,,English,2.0
1,College of Economics and Political Science,ACCT3111,3.0,01,Principles of Financial & Management Accounting,Tutorial,Department of Accounting,SAIF ABDULLAH SAIF AL-SHIDI,0,65,E14,E Common Teaching,Classroom,TUE,120,480,590,110,1798356600+10800,,,English,2.0
2,College of Economics and Political Science,ACCT3111,3.0,02,Principles of Financial & Management Accounting,LEC,Department of Accounting,SAIF ABDULLAH SAIF AL-SHIDI,0,65,E14,E Common Teaching,Classroom,SUN,120,720,830,110,1798356600+10800,,,English,2.0
3,College of Economics and Political Science,ACCT3111,3.0,02,Principles of Financial & Management Accounting,Tutorial,Department of Accounting,SAIF ABDULLAH SAIF AL-SHIDI,0,65,E14,E Common Teaching,Classroom,TUE,120,720,830,110,1798356600+10800,,,English,2.0
4,College of Economics and Political Science,ACCT3111,3.0,03,Principles of Financial & Management Accounting,LEC,Department of Accounting,Ghalia Mubark Said Al-Fori,0,65,E14,E Common Teaching,Classroom,MON,120,480,590,110,1798356600+10800,,,English,2.0
5,College of Economics and Political Science,ACCT3111,3.0,03,Principles of Financial & Management Accounting,Tutorial,Department of Accounting,Ghalia Mubark Said Al-Fori,0,65,E14,E Common Teaching,Classroom,WED,120,480,590,110,1798356600+10800,,,English,2.0
6,College of Economics and Political Science,ACCT3111,3.0,04,Principles of Financial & Management Accounting,LEC,Department of Accounting,Ghalia Mubark Said Al-Fori,0,65,E05,E Common Teaching,Classroom,MON,65,600,710,110,1798356600+10800,,,English,2.0
7,College of Economics and Political Science,ACCT3111,3.0,04,Principles of Financial & Management Accounting,Tutorial,Department of Accounting,Ghalia Mubark Said Al-Fori,0,65,E05,E Common Teaching,Classroom,WED,65,600,710,110,1798356600+10800,,,English,2.0
8,College of Economics and Political Science,ACCT3113,3.0,01,Intermediate Financial Accounting (1),LEC,Department of Accounting,SABRINA MAGHRAB RASHID AL-ASMI,0,40,E08,E Common Teaching,Classroom,MON,65,600,710,110,1799233200+10800,,,English,2.0
9,College of Economics and Political Science,ACCT3113,3.0,01,Intermediate Financial Accounting (1),Tutorial,Department of Accounting,SABRINA MAGHRAB RASHID AL-ASMI,0,40,E08,E Common Teaching,Classroom,WED,65,600,710,110,1799233200+10800,,,English,2.0
10,College of Economics and Political Science,ACCT3113,3.0,02,Intermediate Financial Accounting (1),LEC,Department of Accounting,SABRINA MAGHRAB RASHID AL-ASMI,0,40,E05,E Common Teaching,Classroom,MON,65,855,965,110,1799233200+10800,,,English,2.0
11,College of Economics and Political Science,ACCT3113,3.0,02,Intermediate Financial Accounting (1),Tutorial,Department of Accounting,SABRINA MAGHRAB RASHID AL-ASMI,0,40,E05,E Common Teaching,Classroom,WED,65,855,965,110,1799233200+10800,,,English,2.0
12,College of Economics and Political Science,ACCT3114,3.0,01,Intermediate Financial Accounting (2),LEC,Department of Accounting,SAIF ABDULLAH SAIF AL-SHIDI,0,40,E09,E Common Teaching,Classroom,MON,65,600,710,110,1799146800+10800,,,English,2.0
13,College of Economics and Political Science,ACCT3114,3.0,01,Intermediate Financial Accounting (2),Tutorial,Department of Accounting,SAIF ABDULLAH SAIF AL-SHIDI,0,40,E09,E Common Teaching,Classroom,WED,65,600,710,110,1799146800+10800,,,English,2.0
14,College of Economics and Political Science,ACCT3122,3.0,01,Intermediate Management Accounting,LEC,Department of Accounting,HIDAYA MUSTAFA ALI AL LAWATI,0,40,E05,E Common Teaching,Classroom,MON,65,480,590,110,1799146800+10800,,,English,2.0
15,College of Economics and Political Science,ACCT3122,3.0,01,Intermediate Management Accounting,Tutorial,Department of Accounting,HIDAYA MUSTAFA ALI AL LAWATI,0,40,E05,E Common Teaching,Classroom,WED,65,480,590,110,1799146800+10800,,,English,2.0
16,College of Economics and Political Science,ACCT3131,3.0,01,Accounting Information Systems,LEC,Department of Accounting,THILINA NIROSHAN,0,28,E04,E Common Teaching,Computer Room,SUN,32,720,830,110,,,,English,2.0
17,College of Economics and Political Science,ACCT3131,3.0,01,Accounting Information Systems,LAB,Department of Accounting,THILINA NIROSHAN,0,28,E04,E Common Teaching,Computer Room,TUE,32,720,830,110,,,,English,2.0
18,College of Economics and Political Science,ACCT3131,3.0,02,Accounting Information Systems,LEC,Department of Accounting,THILINA NIROSHAN,0,28,E04,E Common Teaching,Computer Room,SUN,32,855,965,110,,,,English,2.0
19,College of Economics and Political Science,ACCT3131,3.0,02,Accounting Information Systems,LAB,Department of Accounting,THILINA NIROSHAN,0,28,E04,E Common Teaching,Computer Room,TUE,32,855,965,110,,,,English,2.0
